ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,Total_Injection_VOL,BORE_OIL_VOL
11.5,14.48443,106.806,92.475,0.0,285.0
24.0,22.83299,120.889,89.62,0.0,1870.0
22.5,31.24997,113.718,80.12,0.0,3124.0
23.15,28.51893,116.831,84.251,0.0,2608.0
24.0,30.2279,115.434,82.359,0.0,3052.0
24.0,29.97405,115.206,82.169,0.0,2983.0
23.0,30.3084,113.282,80.263,0.0,2981.0
24.0,30.48698,113.769,81.275,0.0,3046.0
24.0,29.90702,113.4,80.774,0.0,3057.0
24.0,30.49301,113.106,79.975,0.0,3030.0
23.67,29.63448,113.079,79.948,0.0,2908.0
15.14,28.95718,112.603,79.162,0.0,1852.0
24.0,30.79962,111.187,77.932,0.0,3127.0
24.0,30.68344,111.45,78.257,0.0,3046.0
24.0,30.92304,110.934,77.723,0.0,3047.0
24.0,30.84932,110.326,77.128,0.0,3036.0
23.67,29.90044,110.629,77.465,0.0,2972.0
24.0,31.02388,109.447,76.212,0.0,3071.0
24.0,31.06188,108.827,75.573,0.0,3068.0
24.0,31.08744,108.321,74.762,0.0,3067.0
24.0,30.96447,108.059,74.361,0.0,3044.0
24.0,30.60221,108.075,74.441,0.0,2983.0
24.0,30.57649,107.869,74.262,0.0,2967.0
24.0,30.58881,107.31,73.375,0.0,2951.0
22.83,28.82496,107.754,73.568,0.0,2657.0
23.0,27.94825,108.031,73.795,0.0,2578.0
24.0,31.15911,105.93,71.562,0.0,2997.0
24.0,31.30501,105.29,71.062,0.0,3021.0
24.0,31.37003,104.811,71.283,0.0,3010.0
23.78,29.85867,105.053,71.868,0.0,2794.0
24.0,31.64254,103.441,70.451,0.0,3059.0
23.83,30.92678,103.219,70.393,0.0,2965.0
24.0,32.07412,102.14,69.867,0.0,3131.0
24.0,32.05167,101.739,69.813,0.0,3135.0
24.0,32.07362,101.299,69.322,0.0,3143.0
24.0,32.04644,100.911,69.074,0.0,3132.0
24.0,32.04522,100.46,69.105,0.0,3140.0
24.0,32.01249,100.124,68.918,0.0,3157.0
24.0,32.08725,99.574,68.253,0.0,3192.0
24.0,32.07839,99.172,67.795,0.0,3172.0
24.0,32.0607,98.793,67.405,0.0,3160.0
24.0,32.12839,98.402,67.011,0.0,3153.0
24.0,32.0421,98.039,66.661,0.0,3131.0
7.48,30.92542,97.897,66.578,0.0,960.0
0.0,26.129375,1.178,1.164,0.0,0.0
1.19,21.33333,92.241,68.207,0.0,73.0
24.0,32.0,97.277,65.742,0.0,3137.0
10.98,30.68261,97.369,66.019,0.0,1431.0
14.03,31.0,98.122,67.129,0.0,1951.0
24.0,29.81203,97.431,66.386,0.0,3061.0
24.0,31.81838,96.658,65.595,0.0,3054.0
24.0,32.00095,96.117,65.052,0.0,3103.0
24.0,32.0812,95.691,64.619,0.0,3111.0
24.0,32.20087,95.14,63.919,0.0,3303.0
24.0,32.2108,94.788,63.121,0.0,3028.0
24.0,32.03321,94.74,63.17,0.0,2999.0
24.0,32.04783,94.544,62.825,0.0,3054.0
24.0,32.00003,94.217,62.791,0.0,3026.0
24.0,31.25186,93.812,62.247,0.0,3003.0
24.0,31.94415,93.622,62.07,0.0,3016.0
12.98,30.88504,93.149,61.656,0.0,1615.0
4.0,25.82296,93.618,63.311,0.0,430.0
21.26,28.7635,83.884,56.138,0.0,2579.0
20.55,32.0605,93.037,61.284,0.0,2494.0
24.0,31.90408,93.0,61.322,0.0,2848.0
9.38,31.65348,92.812,61.079,0.0,1121.0
21.57,31.71874,92.884,61.137,0.0,2448.0
22.71,30.03349,93.021,61.733,0.0,2514.0
24.0,31.48322,92.639,61.001,0.0,2753.0
24.0,31.51978,92.326,60.689,0.0,2752.0
24.0,31.48301,92.169,60.547,0.0,2737.0
24.0,31.48727,91.86,60.253,166.0,2736.0
24.0,30.81425,91.578,59.938,3565.0,2730.0
24.0,31.49891,91.778,60.089,6917.0,2728.0
24.0,31.41246,92.24,60.553,6618.0,2747.0
15.96,31.48973,90.712,58.911,4507.0,1986.0
5.25,25.8431,89.005,60.106,1450.0,547.0
24.0,32.54397,90.862,58.917,6530.0,3012.0
24.0,33.43435,90.67,58.502,6999.0,3168.0
24.0,33.39043,90.772,58.589,6761.0,3164.0
24.0,33.37373,91.06,58.884,7389.0,3173.0
24.0,33.37489,91.371,59.198,8000.0,3189.0
24.0,33.30928,91.716,59.754,6492.0,3187.0
24.0,33.22143,91.807,60.095,7008.0,3177.0
24.0,33.11139,92.103,60.383,7008.0,3171.0
24.0,33.05832,92.397,60.489,7008.0,3171.0
24.0,33.02385,92.779,60.511,7008.0,3188.0
24.0,34.09644,91.579,59.2,7008.0,3416.0
24.0,35.62917,89.612,57.06,7008.0,3702.0
24.0,36.16034,87.644,54.964,7008.0,4002.0
24.0,37.29413,85.868,53.009,7008.0,4253.0
24.0,38.21142,85.746,52.887,7005.0,4280.0
24.0,39.27145,84.427,51.215,7800.0,4440.0
24.0,40.14758,83.448,49.36,7900.0,4583.0
24.0,40.7275,82.829,48.653,8000.0,4677.0
24.0,40.74857,82.84,49.25,8000.0,4689.0
24.0,40.7554,82.928,49.683,8000.0,4688.0
24.0,42.15901,81.264,47.851,8000.0,4886.0
24.0,43.10056,80.171,46.695,8000.0,5013.0
24.0,43.12246,80.22,46.744,7570.0,5018.0
24.0,43.09233,80.202,46.719,6858.0,5019.0
24.0,43.19541,80.173,46.689,6954.0,5034.0
24.0,43.33968,80.017,46.525,7710.0,5046.0
